                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0992,                 3.2376,                  1.258,                0.01346,                0.83079,                0.18279,                  0.096,                0.88896,                 3.1677,                 1.0147,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.94669,                 3.0766,                 1.1317,                0.01379,                0.86829,                0.31514,                0.21051,                 0.7831,                 3.0656,                 0.9584,             8.0599e-05,             8.0599e-05,             8.0599e-05
                      3,                0.94195,                  2.694,                 1.0943,                0.01372,                0.87454,                0.43491,                0.34989,                0.75723,                 2.9412,                0.92146,             0.00012456,             0.00012456,             0.00012456
                      4,                 0.8808,                  2.053,                 1.0826,                 0.0138,                0.87913,                0.45006,                0.35237,                0.81529,                 2.8026,                0.96201,             0.00016522,             0.00016522,             0.00016522
                      5,                0.97062,                 1.8462,                 1.1344,                0.93219,                 0.2156,                0.51026,                0.41122,                 0.7767,                 2.6122,                0.93917,             0.00020257,             0.00020257,             0.00020257
                      6,                 0.7611,                 1.3009,                 1.0306,                 0.9303,                0.27064,                0.63429,                0.51136,                0.75512,                 2.5529,                0.91931,             0.00023663,             0.00023663,             0.00023663
                      7,                 0.7503,                 1.2127,                 1.0017,                 0.8886,                0.28215,                0.70986,                0.56122,                0.71553,                 2.4767,                0.89813,             0.00026739,             0.00026739,             0.00026739
                      8,                0.83902,                 1.1338,                 1.0404,                0.92968,                0.40547,                0.72755,                0.57935,                0.69646,                 2.4032,                0.88742,             0.00029484,             0.00029484,             0.00029484
                      9,                0.74084,                 1.0859,                0.97337,                0.97324,                0.57032,                0.78599,                0.62149,                0.67445,                 2.2032,                0.86877,               0.000319,               0.000319,               0.000319
                     10,                0.78472,                 1.1018,                 1.0389,                 0.9625,                0.59456,                0.78313,                0.63724,                0.66589,                 2.1238,                 0.8688,             0.00033985,             0.00033985,             0.00033985
                     11,                0.77004,                 1.0499,                0.94846,                0.93005,                0.61508,                0.80509,                0.64261,                0.75061,                 1.9942,                0.88649,              0.0003574,              0.0003574,              0.0003574
                     12,                0.76397,                  1.055,                 1.0216,                 0.9298,                0.65102,                0.80303,                0.64788,                 0.7411,                 1.9301,                0.88273,             0.00037166,             0.00037166,             0.00037166
                     13,                0.72763,                0.91445,                 0.9748,                0.95692,                0.67896,                0.83453,                0.67865,                0.67637,                 1.8245,                0.86782,             0.00038261,             0.00038261,             0.00038261
                     14,                0.78183,                0.90469,                0.97831,                0.94581,                 0.6601,                0.82877,                0.69174,                0.67066,                  1.798,                0.86512,             0.00039026,             0.00039026,             0.00039026
                     15,                0.74334,                0.92687,                0.99253,                 0.9686,                0.63905,                0.83332,                0.68866,                0.70033,                 1.8161,                0.87692,             0.00039461,             0.00039461,             0.00039461
                     16,                 0.6384,                0.81318,                0.95011,                0.96748,                0.64205,                0.83547,                0.68671,                0.69508,                 1.8321,                0.88284,             0.00039566,             0.00039566,             0.00039566
                     17,                 0.6185,                0.81204,                0.89874,                0.96963,                0.63085,                0.85138,                0.70008,                 0.7154,                 1.8252,                0.88125,             0.00039341,             0.00039341,             0.00039341
                     18,                0.61152,                0.79715,                0.91369,                0.95905,                0.66371,                 0.8609,                0.71156,                0.71468,                 1.7875,                  0.881,             0.00038786,             0.00038786,             0.00038786
                     19,                0.67486,                0.78494,                0.92836,                0.94808,                0.71585,                 0.8678,                0.73469,                0.68811,                 1.7268,                0.87572,             0.00037901,             0.00037901,             0.00037901
                     20,                0.63387,                0.78204,                0.95803,                0.95316,                0.76872,                0.87591,                0.75879,                 0.6268,                 1.6274,                 0.8562,             0.00036686,             0.00036686,             0.00036686
                     21,                0.57346,                 1.1073,                0.91497,                0.96382,                0.79994,                0.87605,                0.76682,                0.59822,                 1.6207,                0.84269,              0.0003514,              0.0003514,              0.0003514
                     22,                0.56736,                0.97386,                0.90352,                0.96994,                0.78038,                0.86513,                0.76317,                0.58832,                 1.6723,                0.83841,             0.00033265,             0.00033265,             0.00033265
                     23,                0.61487,                0.91638,                0.94372,                0.96031,                0.74264,                0.85588,                0.75048,                0.59084,                  1.709,                0.84011,              0.0003106,              0.0003106,              0.0003106
                     24,                0.54816,                0.98444,                0.90839,                0.95212,                0.73915,                0.86326,                0.75416,                0.59654,                 1.6564,                0.84439,             0.00028524,             0.00028524,             0.00028524
                     25,                0.54318,                0.94535,                  0.879,                0.96044,                0.75859,                 0.8788,                 0.7735,                0.60374,                 1.5552,                0.85095,             0.00025658,             0.00025658,             0.00025658
                     26,                0.54503,                0.94199,                0.88102,                0.98252,                0.80828,                 0.8928,                0.78247,                0.60804,                 1.4361,                0.85271,             0.00022463,             0.00022463,             0.00022463
                     27,                0.52882,                0.86719,                0.91554,                0.98109,                0.83835,                0.90031,                0.79209,                0.60051,                 1.3238,                0.85148,             0.00018937,             0.00018937,             0.00018937
                     28,                0.54258,                0.83146,                0.89652,                 0.9872,                 0.8651,                0.90643,                0.79623,                0.58592,                 1.2275,                 0.8488,             0.00015081,             0.00015081,             0.00015081
                     29,                0.52982,                0.80911,                0.86572,                 0.9872,                 0.8651,                0.90643,                0.79623,                0.58592,                 1.2275,                 0.8488,             0.00010896,             0.00010896,             0.00010896
                     30,                 0.5238,                0.81206,                0.89242,                 0.9861,                0.88697,                0.90903,                0.80361,                0.56826,                 1.1429,                0.84494,             6.3796e-05,             6.3796e-05,             6.3796e-05
