               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1229,            0.077086,            0.037468,           0.0096764,             0.02321,            0.001273,          0.00035676,             0.12494,            0.051849,            0.038489,                 0.1,                   0,                   0
                   1,             0.12079,            0.083735,            0.038058,           0.0037056,            0.032897,          0.00086439,          0.00018374,             0.12457,            0.052757,            0.038635,            0.099098,           9.802e-05,           9.802e-05
                   2,             0.12144,            0.080815,            0.038154,           0.0030524,            0.029849,          0.00070653,          0.00020868,             0.12424,            0.052223,            0.038409,            0.098192,          0.00019208,          0.00019208
                   3,             0.12163,            0.075371,            0.037696,           0.0053119,            0.032799,           0.0013102,          0.00028366,             0.12342,            0.051697,            0.037775,            0.097282,          0.00028218,          0.00028218
                   4,             0.12071,            0.080163,            0.037247,           0.0020286,            0.022227,          0.00060382,          0.00019403,             0.12216,            0.051178,             0.03681,            0.096368,          0.00036832,          0.00036832
                   5,             0.11927,            0.075441,            0.036277,           0.0055617,            0.027783,          0.00092464,          0.00031954,              0.1205,            0.050934,            0.035559,            0.095451,           0.0004505,           0.0004505
                   6,             0.11933,            0.081948,             0.03575,           0.0094603,            0.035405,           0.0018763,          0.00041068,             0.11833,            0.051086,            0.033954,            0.094529,          0.00052872,          0.00052872
                   7,             0.11784,            0.077546,            0.033866,            0.016469,            0.045978,           0.0022171,          0.00049276,             0.11608,            0.051292,            0.032288,            0.093603,          0.00060298,          0.00060298
                   8,             0.11518,            0.072484,            0.032249,            0.023503,            0.057189,           0.0037525,          0.00069974,             0.11392,            0.051476,            0.030609,            0.092673,          0.00067328,          0.00067328
                   9,             0.11553,            0.079869,            0.031009,            0.033481,            0.058271,           0.0054806,           0.0010143,             0.11173,            0.051895,            0.028979,             0.09174,          0.00073962,          0.00073962
                  10,             0.11212,             0.08063,             0.02984,            0.073052,            0.026898,           0.0092021,           0.0015612,             0.10962,            0.052437,            0.027582,            0.090802,            0.000802,            0.000802
                  11,             0.10978,            0.078677,            0.028868,            0.095146,            0.028423,            0.016253,           0.0026827,             0.10786,            0.052689,            0.026447,             0.08986,          0.00086042,          0.00086042
                  12,             0.10965,            0.081644,            0.027638,            0.093553,            0.035061,            0.019603,           0.0039299,             0.10644,            0.052635,            0.025391,            0.088915,          0.00091488,          0.00091488
                  13,             0.10879,             0.07326,            0.027415,             0.09333,            0.041283,            0.021309,            0.003784,             0.10515,            0.052429,            0.024597,            0.087965,          0.00096538,          0.00096538
                  14,             0.10728,            0.084229,            0.025803,            0.084877,            0.047256,            0.017718,           0.0028908,             0.10406,            0.051903,            0.023914,            0.087012,           0.0010119,           0.0010119
                  15,             0.10262,            0.081903,            0.024989,            0.086118,            0.064024,            0.020011,           0.0031594,             0.10321,            0.051254,            0.023328,            0.086055,           0.0010545,           0.0010545
                  16,             0.10242,            0.084043,            0.023692,            0.094437,            0.081235,            0.018936,           0.0028416,             0.10261,            0.050766,            0.022833,            0.085093,           0.0010931,           0.0010931
                  17,            0.099587,            0.087286,             0.02534,            0.092553,            0.095938,            0.020223,           0.0034405,             0.10174,            0.051376,            0.022363,            0.084128,           0.0011278,           0.0011278
                  18,            0.098375,             0.08546,             0.02219,            0.084935,               0.104,            0.021659,           0.0043348,             0.10018,            0.053482,            0.021844,            0.083158,           0.0011585,           0.0011585
                  19,            0.093532,            0.080413,            0.021736,            0.099585,             0.15967,            0.027761,           0.0063545,            0.096928,            0.057617,            0.021411,            0.082185,           0.0011852,           0.0011852
                  20,            0.092644,            0.087136,            0.020557,             0.11323,             0.18352,            0.039781,           0.0090325,            0.093993,            0.063309,            0.021033,            0.081208,            0.001208,            0.001208
                  21,            0.088932,            0.081466,            0.021637,              0.1457,             0.23667,            0.058944,            0.012689,            0.091097,            0.069122,            0.020734,            0.080227,           0.0012268,           0.0012268
                  22,            0.084457,            0.083252,            0.020957,             0.14183,             0.22359,            0.056104,            0.012417,            0.089967,            0.076492,            0.020465,            0.079242,           0.0012417,           0.0012417
                  23,            0.082498,            0.078564,            0.020121,             0.14791,             0.22413,            0.062894,            0.014182,            0.087813,            0.083649,            0.020093,            0.078253,           0.0012526,           0.0012526
                  24,            0.080285,            0.079819,            0.020367,             0.10982,             0.14103,            0.031313,           0.0065295,             0.09074,            0.092789,            0.019843,             0.07726,           0.0012595,           0.0012595
                  25,            0.078139,            0.082211,            0.019007,             0.15657,             0.23077,            0.083679,            0.021023,            0.085845,             0.10007,            0.020032,            0.076263,           0.0012625,           0.0012625
                  26,            0.076413,            0.085545,            0.019248,            0.083868,             0.13493,            0.030857,           0.0065817,            0.091496,             0.11476,            0.020184,            0.075262,           0.0012615,           0.0012615
