                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1035,                 3.5059,                 1.2055,                0.01145,                0.63823,                0.05719,                0.02654,                0.90986,                 3.4021,                 1.0312,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.0477,                 3.3873,                 1.1164,                0.01568,                0.86143,                0.22416,                0.13986,                0.90108,                 3.1713,                 0.9374,             0.00014706,             0.00014706,             0.00014706
                      3,                0.99392,                 2.1239,                 1.0241,                0.24862,                0.70628,                0.38913,                0.28244,                0.88002,                 2.8305,                0.92891,             0.00022414,             0.00022414,             0.00022414
                      4,                0.98767,                 1.5997,                  1.037,                0.48138,                0.08427,                0.55352,                0.40031,                0.90219,                 2.5705,                0.93971,             0.00029792,             0.00029792,             0.00029792
                      5,                0.94337,                 1.2941,                 1.0356,                0.95141,                0.27066,                0.65739,                0.44787,                0.86208,                 2.4677,                0.90436,             0.00036839,             0.00036839,             0.00036839
                      6,                0.92129,                 1.2394,                 1.0013,                 0.9143,                0.34962,                0.69984,                0.46989,                0.90228,                 2.4339,                0.91338,             0.00043557,             0.00043557,             0.00043557
                      7,                0.86353,                 1.1068,                 1.0007,                0.91174,                0.44321,                0.77975,                0.56576,                 0.8103,                 2.3154,                0.89632,             0.00049945,             0.00049945,             0.00049945
                      8,                0.85297,                 1.0305,                 1.0013,                 0.9184,                0.47593,                0.81699,                0.59154,                0.87256,                 2.2294,                 0.9191,             0.00056002,             0.00056002,             0.00056002
                      9,                0.86553,                 0.9461,                 1.0044,                0.91213,                0.37075,                0.77926,                0.54533,                0.95904,                 2.2266,                0.95204,              0.0006173,              0.0006173,              0.0006173
                     10,                0.83158,                0.91185,                0.98155,                0.93469,                0.33916,                0.79296,                0.57592,                0.94582,                 2.2167,                0.94459,             0.00067127,             0.00067127,             0.00067127
                     11,                0.91594,                0.91831,                 1.0167,                0.95782,                0.41407,                0.81224,                  0.606,                0.89344,                 2.2012,                0.93544,             0.00072194,             0.00072194,             0.00072194
                     12,                0.91939,                0.95085,                 1.0206,                0.94403,                0.54516,                0.83879,                0.60593,                 0.9839,                 2.0132,                0.96528,             0.00076932,             0.00076932,             0.00076932
                     13,                0.88297,                0.93703,                 1.0179,                0.92895,                0.57044,                0.84102,                 0.6276,                0.88799,                 1.9732,                0.93646,             0.00081339,             0.00081339,             0.00081339
                     14,                0.92478,                 1.0194,                 1.0481,                0.88598,                0.58393,                0.80047,                0.56533,                0.86156,                 2.0424,                0.95752,             0.00085416,             0.00085416,             0.00085416
